timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1707674215945,1142,createUser,201,Created,Thread Group 1-1,text,true,,1223,539,11,11,https://gorest.co.in/public/v2/users,1142,0,227
1707674216051,1130,createUser,201,Created,Thread Group 1-2,text,true,,1219,537,11,11,https://gorest.co.in/public/v2/users,1130,0,135
1707674216165,1040,createUser,201,Created,Thread Group 1-3,text,true,,1219,537,10,10,https://gorest.co.in/public/v2/users,1040,0,137
1707674216270,1016,createUser,201,Created,Thread Group 1-4,text,true,,1215,537,10,10,https://gorest.co.in/public/v2/users,1016,0,116
1707674216381,1085,createUser,201,Created,Thread Group 1-5,text,true,,1222,538,10,10,https://gorest.co.in/public/v2/users,1085,0,130
1707674216492,980,createUser,201,Created,Thread Group 1-6,text,true,,1220,536,9,9,https://gorest.co.in/public/v2/users,980,0,110
1707674216604,979,createUser,201,Created,Thread Group 1-7,text,true,,1216,538,9,9,https://gorest.co.in/public/v2/users,979,0,109
1707674216715,1050,createUser,201,Created,Thread Group 1-8,text,true,,1224,538,10,10,https://gorest.co.in/public/v2/users,1050,0,125
1707674216830,1086,createUser,201,Created,Thread Group 1-9,text,true,,1216,536,10,10,https://gorest.co.in/public/v2/users,1086,0,135
1707674217491,515,createUser,201,Created,Thread Group 1-15,text,true,,1223,539,10,10,https://gorest.co.in/public/v2/users,515,0,111
1707674216949,1121,createUser,201,Created,Thread Group 1-10,text,true,,1223,537,10,10,https://gorest.co.in/public/v2/users,1121,0,119
1707674217050,1103,createUser,201,Created,Thread Group 1-11,text,true,,1220,534,9,9,https://gorest.co.in/public/v2/users,1103,0,114
1707674217163,1002,createUser,201,Created,Thread Group 1-12,text,true,,1218,538,9,9,https://gorest.co.in/public/v2/users,1002,0,114
1707674217715,568,createUser,201,Created,Thread Group 1-17,text,true,,1225,537,9,9,https://gorest.co.in/public/v2/users,568,0,109
1707674217272,1046,createUser,201,Created,Thread Group 1-13,text,true,,1217,537,8,8,https://gorest.co.in/public/v2/users,1046,0,113
1707674217381,1009,createUser,201,Created,Thread Group 1-14,text,true,,1224,537,8,8,https://gorest.co.in/public/v2/users,1009,0,108
1707674217603,1042,createUser,201,Created,Thread Group 1-16,text,true,,1225,538,9,9,https://gorest.co.in/public/v2/users,1042,0,108
1707674218159,584,createUser,201,Created,Thread Group 1-21,text,true,,1230,537,9,9,https://gorest.co.in/public/v2/users,583,0,127
